결제일자,결제시간,매출구분,지출내역,가맹점명
2025-09-01,19:25:15,일시불,"50,000",홍익휘트니스센터
2025-09-02,21:14:42,일시불,"53,000",건영통닭
2025-09-03,12:07:21,일시불,"11,800",단콩
2025-09-03,20:47:17,일시불,"49,838",네이버페이
2025-09-03,23:53:26,일시불,990,씨유(CU) 홍대새로암점
2025-09-04,15:50:49,일시불,"2,800",(주)애니원에프앤씨
2025-09-04,20:09:18,일시불,"5,800",단콩
2025-09-05,0:48:24,일시불,"17,000",구글플레이-구글페이먼트코리아 유한회사
2025-09-05,5:59:04,일시불,"18,650",08 월 지하철 16건
2025-09-05,5:59:04,일시불,"28,200",08 월 버스 17건
2025-09-05,17:08:01,일시불,"11,000",메가박스-메가박스중앙(주)
2025-09-05,17:41:29,일시불,"11,000",메가박스-메가박스중앙(주)
2025-09-06,11:28:18,일시불,"4,183",네이버페이_번개장터-번개장터 주식회사
2025-09-06,14:04:50,일시불,"6,000",아성다이소
2025-09-06,14:24:09,일시불,"1,900",(주)지에스네트웍스
2025-09-06,16:23:35,일시불,"94,100",(주)디테일즈
2025-09-06,16:44:23,일시불,"15,500",백소정 홍대합정점
2025-09-06,19:38:04,일시불,"5,000",BERRY BLISS
2025-09-06,21:18:04,일시불,"14,500",냐냐랜드
2025-09-06,21:23:18,일시불,"7,000",냐냐랜드
2025-09-06,21:27:16,일시불,"7,000",냐냐랜드
2025-09-07,12:55:55,일시불,"5,500",제이제이디저트피씨카페
2025-09-07,14:40:30,일시불,"1,900",(주)지에스네트웍스
2025-09-07,16:02:17,일시불,"5,000",쭈롱베이커리
2025-09-07,18:29:45,일시불,"11,800",언더랩
2025-09-07,21:34:57,일시불,"1,500",구글플레이-구글페이먼트코리아 유한회사
2025-09-07,21:35:10,일시불,"1,500",구글플레이-구글페이먼트코리아 유한회사
2025-09-07,21:54:52,일시불,"1,500",구글플레이-구글페이먼트코리아 유한회사
2025-09-08,11:46:21,일시불,"6,500",(주)다미선푸드홍익대점
2025-09-09,14:29:01,일시불,"24,580",쿠팡(쿠페이)-쿠팡(쿠페이)
2025-09-09,16:20:48,일시불,"12,000",단콩
2025-09-10,11:35:12,일시불,"2,800",(주)애니원에프앤씨
2025-09-10,13:04:17,일시불,"6,000",(주)다미선푸드홍익대점
2025-09-19,17:42:26,일시불,"4,400",KICC(서울시현장)-서울도시철도엔지니어
2025-09-25,15:36:44,일시불,"3,500",(주)애니원에프앤씨
2025-09-26,13:51:35,일시불,"7,800",한국철도공사
2025-09-26,17:48:14,일시불,"9,000",아성다이소
2025-09-27,8:08:07,일시불,"1,900",(주)지에스네트웍스
2025-09-28,22:58:41,일시불,"3,600",씨유(CU) 홍대새로암점
2025-09-29,23:23:26,일시불,"1,500",구글플레이-구글페이먼트코리아 유한회사
2025-09-29,23:26:34,일시불,500,구글플레이-구글페이먼트코리아 유한회사
2025-09-30,18:34:07,일시불,"9,000",라퓨타커피
2025-09-30,21:54:25,일시불,"4,300",지에스25 홍대신안점
2025-10-01,20:32:31,일시불,"3,000",블랙홀PC방
